INFO 2025-02-19 21:56:18,622 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-19 21:56:18,994 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\core\management\color.py first seen with mtime 1739825269.8103535
DEBUG 2025-02-19 21:56:18,994 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1739825269.8583534
DEBUG 2025-02-19 21:56:18,995 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\views\csrf.py first seen with mtime 1739825269.9353535
DEBUG 2025-02-19 21:56:18,995 autoreload File D:\mobile_app\apsocial_backend\users\services\profile.py first seen with mtime 1739991731.912583
DEBUG 2025-02-19 21:56:18,995 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\forms\formsets.py first seen with mtime 1739825269.8693535
DEBUG 2025-02-19 21:56:18,995 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\urls\base.py first seen with mtime 1739825269.9173534
DEBUG 2025-02-19 21:56:18,995 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\DLLs\_ssl.pyd first seen with mtime 1666629288.0
DEBUG 2025-02-19 21:56:18,996 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\urls\converters.py first seen with mtime 1739825269.9183526
DEBUG 2025-02-19 21:56:18,996 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\views\generic\list.py first seen with mtime 1739825269.9423532
DEBUG 2025-02-19 21:56:18,996 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1739825269.8433528
DEBUG 2025-02-19 21:56:18,997 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\zoneinfo\_tzpath.py first seen with mtime 1666629250.0
DEBUG 2025-02-19 21:56:18,997 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1739825269.1081955
DEBUG 2025-02-19 21:56:18,997 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1739825269.9293535
DEBUG 2025-02-19 21:56:18,998 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1739825268.9071968
DEBUG 2025-02-19 21:56:18,998 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\wsgiref\handlers.py first seen with mtime 1666629250.0
DEBUG 2025-02-19 21:56:18,998 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\http\__init__.py first seen with mtime 1739825269.8983526
DEBUG 2025-02-19 21:56:18,999 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\rest_framework\utils\breadcrumbs.py first seen with mtime 1739825849.9068022
